sku,rating,review_count
VNSPD-013,4.67,3
TVM-RFRAIL-WB144,5.0,2
TVM-RFRAIL-WB170,5.0,2
1003,4.95,20
1004,4.95,20
1005,4.95,20
1006,4.95,20
1007,4.95,20
1008,4.95,20
1009,4.95,20
1010,4.95,20
TVM-DOORPNL-OAT,5.0,1
TVM-DOORPNL-BLK,5.0,1
TVM-DOORPNL-GRY,5.0,1
BSD001,4.67,3
BSP002,4.67,3
BSD001/BSP002,4.67,3
VNSPD099-A,5.0,2
VNSPD099-B,5.0,2
VNSPD099-C,5.0,2
TVM-CRLRING,4.8,5
TVM-HDLFAB-GREYMIX,5.0,1
TVM-HDLFAB-DKGREY,5.0,1
TVM-HDLFAB-OAT,5.0,1
TVM-HDLFAB-TOAST,5.0,1
TVM-HDLFAB-BLK,5.0,1
VNSPD-005,4.83,78
VNSPD-005 + VNSPD-005-SA3,4.83,78
VNSPD-015,5.0,3
VNSPD-007,4.94,18
VNSPD-024,5.0,6
VNSPD-026,5.0,9
TVM-AUXSW,5.0,1
VW3310L + VW3310R,4.33,9
VNSPD-009,5.0,19
VNSPD-016,5.0,1
VNSPD-016 + VNSPD-017,5.0,1
VNSPD-015 + VNSPD-016,5.0,1
VNSPD-008B,5.0,10
VNSPD-010,5.0,1
TVM-GIFTCARD-050,5.0,1
TVM-GIFTCARD-100,5.0,1
TVM-GIFTCARD-500,5.0,1
TVM-GIFTCARD-1000,5.0,1
TVM-GIFTCARD-2000,5.0,1
TVM-SHOP-WBLK-M,5.0,1
TVM-SHOP-WBLK-L,5.0,1
TVM-SHOP-WBLK-XL,5.0,1
TVM-SUN-BONE-M,5.0,1
TVM-SUN-BONE-L,5.0,1
TVM-SUN-BONE-XL,5.0,1
VNSPD-041,5.0,2
VNMRT057-A,5.0,3
VNMRT057-B,5.0,3
VNSPD-031H,5.0,20
VNSPD-031H + VNSPD-043,5.0,20
VNSPD-031H + VNSPD-036 + VNSPD-037 + VNSPD-040 + VNSPD-041,5.0,20
VNSPD-031H + VNSPD-036 + VNSPD-037 + VNSPD-040 + VNSPD-041 + VNSPD-043,5.0,20
VNSPD-031C,5.0,20
VNSPD-031F,5.0,20
VNSPD-031C + VNSPD-042,5.0,20
VNSPD-031F + VNSPD-042,5.0,20
VNSPD-031D,5.0,20
VNSPD-031G,5.0,20
VNSPD-031D + VNSPD-042,5.0,20
VNSPD-031G + VNSPD-042,5.0,20
VNSPD-044,5.0,1
910-810-05-03-7C45,4.83,12
VNMRT058-A,5.0,1
VNMRT058-B,5.0,1
VNMRT058-C,5.0,1
VNMRT054-A,5.0,1
VNMRT054-B,5.0,1
VNSPD-060,4.89,19
VNSPD-032,5.0,20
VNSPD-025,5.0,2
VNSPD-052,4.78,9
VNSPD-052B,4.78,9
VNSPD-062,5.0,1
VNSPD-062B,5.0,1
VNSPD-067,5.0,1
TVM-SCRIPT-SGE-S,5.0,1
TVM-SCRIPT-SGE-M,5.0,1
TVM-SCRIPT-SGE-L,5.0,1
TVM-SCRIPT-SGE-XL,5.0,1
TVM-SCRIPT-SGE-XXL,5.0,1
TVM-SCRIPT-BLKORG-S,5.0,1
TVM-SCRIPT-BLKORG-M,5.0,1
TVM-SCRIPT-BLKORG-L,5.0,1
TVM-SCRIPT-BLKORG-XL,5.0,1
TVM-SCRIPT-BLKORG-XXL,5.0,1
TVM-SPFRTCAB-0718,5.0,4
TVM-SPFRTCAB-1923,5.0,4
TVM-WCSLIDE,5.0,4
TVM-SPREAR-0718-NOPL,5.0,4
TVM-SPREAR-0718-LPT,5.0,4
TVM-SPREAR-0718-FPT,5.0,4
TVM-SPREAR-19C-NOPL,5.0,4
TVM-SPREAR-19C-LPT,5.0,4
